run,dataset,metric,step,pointmap_loss
dtok32,nuScenes,AR,23042,0.384277
dtok32,nuScenes,AR,23604,0.372304
dtok32,nuScenes,AR,24166,0.374900
dtok32,nuScenes,AR,24728,0.369641
dtok32,nuScenes,AR,25290,0.423882
dtok32,nuScenes,AR,25852,0.393679
dtok32,nuScenes,AR,26414,0.367267
dtok32,nuScenes,AR,26976,0.468324
dtok32,nuScenes,AR,27538,0.397165
dtok32,nuScenes,AR,28100,0.384111
dtok32,nuScenes,AR,28662,0.376103
dtok32,nuScenes,AR,29224,0.380642
dtok32,nuScenes,AR,29786,0.400580
dtok32,nuScenes,AR,30348,0.384058
dtok32,nuScenes,AR,30910,0.410559
dtok32,nuScenes,AR,31472,0.394911
dtok32,nuScenes,AR,32034,0.361325
dtok32,nuScenes,AR,32596,0.386887
dtok32,nuScenes,AR,33158,0.382160
dtok32,nuScenes,AR,33720,0.382975
dtok32,nuScenes,AR,34282,0.386882
dtok32,nuScenes,AR,34844,0.381282
dtok32,nuScenes,AR,35406,0.367308
dtok32,nuScenes,AR,35968,0.366950
dtok32,nuScenes,AR,36530,0.401373
dtok32,nuScenes,AR,37092,0.359461
dtok32,nuScenes,AR,37654,0.390971
dtok32,nuScenes,AR,38216,0.397516
dtok32,nuScenes,AR,38778,0.374521
dtok32,nuScenes,AR,39340,0.366567
dtok32,nuScenes,AR,39902,0.382288
dtok32,nuScenes,AR,40464,0.376009
dtok32,nuScenes,AR,41026,0.361105
dtok32,nuScenes,AR,41588,0.365849
dtok32,nuScenes,AR,42150,0.372522
dtok32,nuScenes,AR,42712,0.382035
dtok32,nuScenes,AR,43274,0.359900
dtok32,nuScenes,AR,43836,0.372368
dtok32,nuScenes,AR,44398,0.354612
dtok32,nuScenes,AR,44960,0.368935
dtok32,nuScenes,AR,45522,0.369600
dtok32,nuScenes,AR,46084,0.353164
dtok32,nuScenes,AR,46646,0.377129
dtok32,nuScenes,AR,47208,0.354238
dtok32,nuScenes,AR,47770,0.360432
dtok32,nuScenes,AR,48332,0.351694
dtok32,nuScenes,AR,48894,0.358240
dtok32,nuScenes,AR,49456,0.351770
dtok32,nuScenes,AR,50018,0.338279
dtok32,nuScenes,AR,50580,nan
dtok32,nuScenes,AR,51142,nan
dtok32,nuScenes,AR,51704,nan
dtok32,nuScenes,AR,52266,nan
dtok32,nuScenes,AR,52828,nan
dtok32,nuScenes,AR,53390,nan
dtok32,nuScenes,AR,53952,nan
dtok32,nuScenes,AR,54514,nan
dtok32,nuScenes,AR,55076,nan
dtok32,nuScenes,AR,55638,nan
dtok32,nuScenes,AR,56200,nan
dtok32,nuScenes,AR,56762,nan
dtok16,KITTI,single,562,10.524123
dtok16,KITTI,single,1124,14.176383
dtok16,KITTI,single,1686,15.486720
